P38757	P38954
P14922	Q12306
P32804	P33302
P25359	P48240
P47023	P47023
P39723	Q03713
P25371	Q06815
P32562	P39723
P36022	Q06116
Q03308	Q07468
P00546	P42943
P09620	P11075
P24869	P53724
P32566	Q12114
P33122	P53271
P38632	P38969
P32597	Q06168
P38962	P53093
P47069	Q04477
P30822	P49686
P39548	P53142
P06777	P28519
P36141	P39940
P12753	P47149
P40582	P53224
P20434	P39520
P10823	P32581
P32366	Q06813
P32499	Q06142
P32589	P32589
P28274	P38627
P43555	Q12016
P34237	P53877
P40359	Q08032
P27705	P47068
P38304	P38633
P32457	P39929
P38286	P43555
P40013	P53168
P38340	Q03063
P53896	Q02574
P25644	P25644
P15565	Q12306
Q03655	Q99190
P32366	P41807
P47149	Q07684
P36016	P38748
P35180	P38921
P43544	P43545
P53616	Q12745
P25340	Q03497
P32793	P36123
P28004	Q02336
Q08278	Q12321
P08964	P36022
P33122	P53159
P25584	P32448
P33297	P35719
P32598	P53261
P32600	P41318
Q06116	Q12403
P34252	P80667
P38340	P43545
P40518	P53731
Q12248	Q12309
P06843	P19454
Q02821	Q03707
P36224	Q06629
P22579	Q00916
P40040	P47135
P48232	Q02199
O14468	Q12262
P32389	Q06568
P31379	P49018
P32502	P46946
P38720	P40318
P47028	P53233
P38260	P46956
P46677	Q04226
P20676	Q06142
P00546	P42839
P09032	P32481
P32873	P50111
P53930	P53930
P32861	Q08217
P33122	P40957
P34240	P43561
P40014	P40957
P25368	P27637
P32505	Q07478
P32524	P38167
P38850	Q06164
P40021	Q04439
P25344	P40003
P09620	Q03921
P35177	Q05027
P24869	P38072
P04387	P26798
P36022	P38236
P38819	P39551
P34237	P46995
P40318	P40318
P38886	Q12250
P14681	P18412
Q02821	Q06675
P40560	Q08273
P17898	P53918
P33338	P53731
P38011	P38011
Q04231	Q06665
P22082	P43554
P09547	Q12186
O13329	P32902
P04821	P53279
P09119	P43603
P34237	P54000
P23542	Q12462
Q02785	Q04383
P27809	P27809
P53184	Q06142
P34758	P53148
P32457	P40005
P33203	P53864
O13561	P38041
Q06096	Q08786
P43578	Q06675
P53824	Q02821
P43682	Q03655
Q01389	Q05022
P25087	P36060
P34230	P38879
P31111	P32364
P36224	Q01846
P16151	P43603
P46679	Q12015
P26343	Q12318
P25390	Q07084
P35735	P53278
P46678	P54115
P69852	Q06631
P47135	P53831
Q02804	Q6Q5F3
P01123	P54783
P06787	P33203
P0CI38	P38723
P22209	P47149
Q02821	Q12178
P38264	P39543
P39723	Q04172
P35206	Q06644
P0CE11	P54074
P11986	Q12154
P38856	P39926
P53158	Q04477
P17157	Q07657
P33317	P33317
P32568	P32568
Q06324	Q06629
P0CX56	P38909
P39683	Q02724
P43542	Q12078
Q03655	Q12164
P43573	Q12513
Q04991	Q06406
P22209	P40956
P32493	P40971
P17119	Q12261
P07560	P32864
P32605	P53863
P35189	P60010
P15938	P46974
P22135	P38822
P15380	P25381
P32457	P38041
P27637	Q03860
P38874	Q06706
P35727	Q00402
P08539	P11972
P16862	P47093
P25554	P46677
P26570	P40463
P25637	P47135
P50875	Q12030
P11972	P39016
P47135	P54867
P0CE41	P0CE41
Q03935	Q12080
P54837	Q02774
P22140	P40319
P33335	P38286
P16151	P53057
P21825	P39742
P28496	P38264
Q08650	Q12274
P32368	P38286
P25087	Q02969
P0CG63	P48510
P61829	P61829
P06102	P25604
P38203	P47093
P24583	P47149
P33419	P52891
P36006	P47821
P43321	Q12145
P39940	P40892
P36006	Q12426
P32867	P38856
P40340	P46677
P07213	P16547
P39929	P53930
P34237	P53865
P40580	P40580
P38986	P38986
P47072	Q07651
P38987	P53081
P07703	P47035
P25358	P38843
P31412	P47104
P46984	Q3E833
P08466	P35995
P35206	P40478
P32364	P46674
P23285	Q05934
P32793	P32863
P38236	P48237
P35723	P38993
P25344	P89105
P32380	P33419
P47041	P47041
P35180	P53507
P38328	Q05933
P53215	P53215
P38987	Q12134
P14681	Q03063
P32790	P33413
P34237	Q07896
P47057	Q03254
P25293	Q03935
P25441	Q12306
P38286	Q08929
P32790	P40563
P38286	P38356
P32558	P38439
P40537	P43586
P04050	P36145
Q03944	Q12020
P23968	P38238
P32354	P35201
Q02931	Q07451
P25454	P39955
P32504	P38991
P53277	Q03654
P30605	P31381
P25297	P38264
P33327	P33327
Q01454	Q12488
P10614	P16603
P11745	Q01926
Q03103	Q12099
P0CS90	P39515
P10614	Q08438
Q03673	Q12349
P36022	P39526
P11075	P11075
P38264	P54837
P22803	P38013
P32914	P39940
P40582	P53173
P53296	Q04767
Q06525	Q12306
P53313	Q03862
P38873	Q08921
P40356	Q12344
P38144	Q12403
P43585	Q07788
P38989	Q07457
P24583	P69852
P02829	P50945
P32833	P50874
P38283	P38991
P39970	P41901
P09620	P38932
P21951	Q04603
P32913	Q92331
P43551	P46959
P32803	P33203
P38932	Q08144
P41909	Q06440
P25390	P53286
P05375	P40582
P38837	P49334
P25619	P32568
P17214	Q03697
P41901	Q06179
P38236	P46674
P39940	P53755
P40088	Q02785
P33767	Q04697
P25611	P38275
P38158	P39940
P38523	Q01846
P14359	P34110
P40460	P53271
Q00402	Q03785
Q02895	Q12056
P52917	Q06263
P02829	P25491
P0CX47	Q12305
P25366	P40971
P47045	Q08749
P11792	P53323
P38615	P54780
P00546	P20437
P34250	P52553
P38310	Q08474
P16658	P33122
P04821	P32581
P38957	Q12318
P40542	Q08816
P32804	Q04182
Q00402	Q04477
P53196	Q01939
P16649	P39526
P32458	P40061
P0CE96	Q12182
P25651	Q12066
P00546	P36005
P10823	P38755
P22209	P22209
P46677	Q04924
P36057	P40975
P32380	P53378
P19881	P20051
P38149	Q12136
P39011	P40448
P00899	P00937
P22007	P25293
P53551	P61830
P19807	P28321
P40357	Q02630
P38763	P53717
P25376	P38264
P36049	P37838
P39940	Q10740
P49723	P49723
P16649	Q12344
Q12374	Q12403
P20676	Q05080
P47042	Q03790
P53303	P53834
P25558	P29055
P04817	Q12412
P53747	Q02630
P28321	P38295
Q04383	Q07824
P38626	Q03497
Q08215	Q08491
